gameId,playId,playDesc
58838,320,"(9:28) (No Huddle) PENALTY on LA-73-D.Edwards, False Start, 5 yards, enforced at LA 22 - No Play."
58838,646,"(1:53) 17-J.Allen pass short left to 88-D.Knox to LA 47 for 5 yards (58-J.Hollins). PENALTY on LA-58-J.Hollins, Horse Collar Tackle, 15 yards, enforced at LA 47."
58838,1254,"(7:20) (Shotgun) 19-B.Powell left tackle to BUF 41 for 3 yards (55-C.Basham). PENALTY on BUF-97-J.Phillips, Defensive Holding, 5 yards, enforced at BUF 41."
58838,1540,"(2:16) (Shotgun) PENALTY on LA, Defensive Too Many Men on Field, 5 yards, enforced at BUF 23 - No Play."
58838,1679,"(1:45) (No Huddle, Shotgun) 9-M.Stafford pass incomplete deep left to 10-C.Kupp. PENALTY on BUF-7-T.Johnson, Defensive Holding, 5 yards, enforced at BUF 45 - No Play."
58838,2114,"(10:51) (Shotgun) PENALTY on BUF-76-R.Saffold, False Start, 5 yards, enforced at LA 38 - No Play."
58838,2441,"(5:11) PENALTY on BUF-79-S.Brown, False Start, 5 yards, enforced at BUF 11 - No Play."
58838,3069,"(9:17) (Shotgun) PENALTY on LA-18-B.Skowronek, False Start, 5 yards, enforced at LA 24 - No Play."
58838,3214,"(7:06) (No Huddle, Shotgun) 9-M.Stafford pass short middle intended for 89-T.Higbee INTERCEPTED by 55-C.Basham at LA 43. 55-C.Basham to LA 22 for 21 yards (9-M.Stafford). PENALTY on BUF-30-D.Jackson, Taunting, 15 yards, enforced at LA 22."
58839,233,"(10:54) (Shotgun) 1-M.Mariota pass incomplete deep right to 5-D.London. Penalty on ATL-67-D.Dalman, Ineligible Downfield Pass, declined."
58839,616,"(Kick formation) PENALTY on NO, Delay of Game, 5 yards, enforced at ATL 15 - No Play."
58839,891,"(2:03) PENALTY on NO-98-P.Turner, Neutral Zone Infraction, 5 yards, enforced at ATL 46 - No Play."
58839,1303,"(8:42) (Shotgun) 84-C.Patterson right guard to ATL 35 for 3 yards (56-D.Davis; 91-K.Street). PENALTY on ATL-70-J.Matthews, Offensive Holding, 10 yards, enforced at ATL 32 - No Play."
58839,1434,"(6:12) 41-A.Kamara left tackle to NO 30 for 2 yards (47-A.Ebiketie). PENALTY on ATL-94-A.Rush, Defensive Offside, 5 yards, enforced at NO 28 - No Play."
58839,1552,"(3:47) (Shotgun) 1-M.Mariota pass short middle to 5-D.London to ATL 27 for 9 yards (20-P.Werner). PENALTY on NO-20-P.Werner, Unnecessary Roughness, 15 yards, enforced at ATL 27."
58839,2403,"(6:58) (No Huddle, Shotgun) 1-M.Mariota pass incomplete deep right to 17-O.Zaccheaus. PENALTY on NO-6-M.Maye, Defensive Pass Interference, 39 yards, enforced at NO 41 - No Play."
58839,2809,"(1:41) 84-C.Patterson right end to NO 43 for 7 yards (93-D.Onyemata). PENALTY on ATL-76-K.McGary, Offensive Holding, 10 yards, enforced at 50 - No Play."
58839,2841,"(1:21) (Shotgun) 1-M.Mariota scrambles left end pushed ob at NO 44 for 16 yards (23-M.Lattimore). PENALTY on NO-30-J.Evans, Defensive Holding, 5 yards, enforced at NO 44."
58839,3005,"(12:55) (Shotgun) PENALTY on ATL-46-P.Hesse, False Start, 5 yards, enforced at NO 4 - No Play."
58839,3050,"(12:51) (Shotgun) 1-M.Mariota pass incomplete short left to 89-B.Edwards. Penalty on ATL-67-D.Dalman, Offensive Holding, declined."
58839,3400,"(7:12) (Punt formation) PENALTY on ATL, Delay of Game, 5 yards, enforced at 50 - No Play."
58839,3602,"(4:11) (No Huddle, Shotgun) 2-J.Winston pass incomplete short right to 13-M.Thomas. ATL-29-C.Hayward was injured during the play.  PENALTY on ATL-92-A.Ogundeji, Defensive Offside, 5 yards, enforced at ATL 28 - No Play."
58839,3696,"TWO-POINT CONVERSION ATTEMPT. 22-M.Ingram rushes right end. ATTEMPT FAILS. Penalty on NO-82-A.Trautman, Illegal Shift, declined."
58839,3854,"(1:59) (Shotgun) 1-M.Mariota pass incomplete deep left to 17-O.Zaccheaus. PENALTY on NO-23-M.Lattimore, Defensive Holding, 5 yards, enforced at ATL 44 - No Play."
58839,3990,"(:54) (Punt formation) PENALTY on ATL, Delay of Game, 5 yards, enforced at NO 42 - No Play."
58839,4013,"(:54) 13-B.Pinion punts 37 yards to NO 10, Center-48-L.McCullough, fair catch by 11-D.Harty. PENALTY on ATL-48-L.McCullough, Offensive Holding, 10 yards, enforced at NO 10."
58839,4068,"(:38) (No Huddle) 2-J.Winston spiked the ball to stop the clock. PENALTY on NO-2-J.Winston, Intentional Grounding, 10 yards, enforced at ATL 40."
58839,4307,"(:06) (Shotgun) 1-M.Mariota pass short left to 84-C.Patterson to ATL 40 for 5 yards (32-T.Mathieu). PENALTY on NO-23-M.Lattimore, Unnecessary Roughness, 15 yards, enforced at ATL 40."
58840,382,"(8:46) (No Huddle) 6-B.Mayfield pass short right to 22-C.McCaffrey to CLV 44 for 16 yards (28-J.Owusu-Koramoah; 5-A.Walker). PENALTY on CAR-80-I.Thomas, Offensive Holding, 10 yards, enforced at CAR 40 - No Play."
58840,489,"(6:45) 24-N.Chubb right tackle to CLV 46 for 11 yards (97-Y.Gross-Matos). PENALTY on CLV-77-W.Teller, Offensive Holding, 10 yards, enforced at CLV 35 - No Play."
58840,566,"(5:04) (Shotgun) 7-J.Brissett pass incomplete deep left to 27-K.Hunt. PENALTY on CAR-8-J.Horn, Defensive Holding, 5 yards, enforced at CLV 40 - No Play."
58840,794,"(1:11) (Shotgun) PENALTY on CAR, Delay of Game, 5 yards, enforced at CAR 10 - No Play."
58840,817,"(1:11) (Shotgun) 6-B.Mayfield pass incomplete short right to 82-T.Tremble. PENALTY on CLV-99-T.Bryan, Roughing the Passer, 15 yards, enforced at CAR 5 - No Play."
58840,883,"(:35) (Shotgun) 6-B.Mayfield sacked at CAR 15 for -8 yards (sack split by 43-J.Johnson and 33-R.Harrison). PENALTY on CAR, Unsportsmanlike Conduct, 7 yards, enforced at CAR 15."
58840,1239,"(11:02) (Shotgun) 7-J.Brissett pass deep left intended for 2-A.Cooper INTERCEPTED by 25-X.Woods [53-B.Burns] at CAR 0. 25-X.Woods to CAR 31 for 31 yards (88-H.Bryant). PENALTY on CAR-24-C.Henderson, Defensive Pass Interference, 34 yards, enforced at CAR 35 - No Play."
58840,1922,"(1:17) (Shotgun) PENALTY on CLV-2-A.Cooper, False Start, 5 yards, enforced at CLV 42 - No Play."
58840,1945,"(1:17) (Shotgun) 7-J.Brissett pass short left to 27-K.Hunt to CAR 39 for 24 yards (95-D.Brown). PENALTY on CAR-25-X.Woods, Low Block, 15 yards, enforced at CAR 39."
58840,2147,"3-C.York kicks 65 yards from CLV 35 to end zone, Touchback. PENALTY on CLV-29-H.Miller, Illegal Formation, 5 yards, enforced at CLV 35 - No Play."
